编号	定义文件	标题	需求状态	优先级	来源	关联需求	设计证据	实现证据	自动化证据	真实环境证据	最终状态	最近检查
SCN-STU-04	doc/requirements/v1/03-user-scenarios.md	获取更新或保留已有版本	已接受	—	—	—					待设计	
SCN-STU-05	doc/requirements/v1/03-user-scenarios.md	把课程及互动配置保存为本地文件（后续阶段候选）	已接受	—	—	—					待设计	
SCN-ERR-01	doc/requirements/v1/03-user-scenarios.md	输入、权限或业务状态不允许操作	已接受	—	—	—					待设计	
SCN-ERR-02	doc/requirements/v1/03-user-scenarios.md	外部依赖、版本或数据发生故障	已接受	—	—	—					待设计	
FR-AUTH-001	doc/requirements/v1/04-functional-requirements.md	管理员登录和退出管理入口	已接受	P0	`SCOPE-08`；`SCN-ADM-04`、`SCN-ERR-01`	`SEC-ACCESS-*`、`INT-WEB-*`					待设计	
FR-AUTH-002	doc/requirements/v1/04-functional-requirements.md	管理员创建教师用户名和密码	已接受	P0	`SCOPE-01`、`SCOPE-08`；`SCN-ADM-01`	`FR-ADMIN-*`、`FR-WS-*`					待设计	
FR-AUTH-003	doc/requirements/v1/04-functional-requirements.md	管理员重置或停止教师登录资格	已接受	P0	`SCOPE-01`、`SCOPE-08`；`SCN-ADM-02`、`SCN-ADM-05`	`FR-ADMIN-*`、`DATA-LIFE-*`					待设计	
FR-AUTH-004	doc/requirements/v1/04-functional-requirements.md	教师使用用户名和密码登录	已接受	P0	`SCOPE-01`；`SCN-TCH-01`、`SCN-ERR-01`	`FR-WS-*`、`INT-WEB-*`					待设计	
FR-AUTH-005	doc/requirements/v1/04-functional-requirements.md	教师恢复会话和主动退出	已接受	P0	`SCOPE-01`；`SCN-TCH-01`	`INT-WEB-*`					待设计	
FR-AUTH-006	doc/requirements/v1/04-functional-requirements.md	教师会话结束后保留业务数据	已接受	P0	`SCOPE-01`、`SCOPE-02`；`SCN-TCH-01`、`SCN-TCH-02`	`FR-WS-*`、`DATA-LIFE-*`					待设计	
FR-AUTH-007	doc/requirements/v1/04-functional-requirements.md	学生在当前机器使用本机学习标识	已接受	P0	`SCOPE-06`；`SCN-STU-01`、`SCN-STU-03`；`D-026`	`FR-LIB-*`、`FR-LEARN-*`					待设计	
FR-AUTH-008	doc/requirements/v1/04-functional-requirements.md	学生在本机保存并恢复课程数据	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-01`、`SCN-STU-03`	`FR-LIB-*`、`FR-LEARN-*`、`DATA-LOCAL-*`					待设计	
FR-AUTH-009	doc/requirements/v1/04-functional-requirements.md	学生换机后重新下载课程	已接受	P0	`SCOPE-04`、`SCOPE-06`；`SCN-STU-01`、`SCN-STU-04`；`D-026`	`FR-GRANT-*`、`FR-LIB-*`					待设计	
FR-AUTH-010	doc/requirements/v1/04-functional-requirements.md	三类角色和身份相互隔离	已接受	P0	`SCOPE-01`、`SCOPE-06`、`SCOPE-08`；`SCN-ADM-04`、`SCN-TCH-01`、`SCN-ERR-01`	`FR-WS-*`、`SEC-ACCESS-*`、`INT-WEB-*`					待设计	
FR-AUTH-011	doc/requirements/v1/04-functional-requirements.md	认证失败安全且可以恢复	已接受	P0	`SCOPE-01`、`SCOPE-08`；`SCN-ADM-04`、`SCN-TCH-01`、`SCN-ERR-01`	—					待设计	
FR-WS-001	doc/requirements/v1/04-functional-requirements.md	创建教师时建立唯一工作空间	已接受	P0	`SCOPE-01`、`SCOPE-02`；`SCN-ADM-01`	`FR-AUTH-002`、`FR-ADMIN-*`					待设计	
FR-WS-002	doc/requirements/v1/04-functional-requirements.md	管理员维护归属但不默认读取业务正文	已接受	P0	`SCOPE-01`、`SCOPE-08`；`SCN-ADM-02`、`SCN-ADM-03`	`FR-ADMIN-*`、`SEC-ACCESS-*`					待设计	
FR-WS-003	doc/requirements/v1/04-functional-requirements.md	教师登录后进入自己的唯一工作空间	已接受	P0	`SCOPE-01`、`SCOPE-02`；`SCN-TCH-01`	`FR-AUTH-004`、`FR-AUTH-006`					待设计	
FR-WS-004	doc/requirements/v1/04-functional-requirements.md	教师只管理自己工作空间内的对象	已接受	P0	`SCOPE-01`、`SCOPE-02`；`SCN-TCH-01`、`SCN-ERR-01`	`FR-COURSE-*`、`FR-AUTHOR-*`、`FR-PUBLISH-*`、`FR-GRANT-*`、`FR-PORT-*`、`SEC-ACCESS-*`					待设计	
FR-WS-005	doc/requirements/v1/04-functional-requirements.md	教师账号停用不删除工作空间数据	已接受	P0	`SCOPE-01`、`SCOPE-02`；`SCN-ADM-02`、`SCN-TCH-06`	`FR-AUTH-003`、`FR-AUTH-006`、`FR-GRANT-*`、`DATA-LIFE-*`					待设计	
FR-WS-006	doc/requirements/v1/04-functional-requirements.md	学生授权不产生工作空间成员资格	已接受	P0	`SCOPE-04`、`SCOPE-06`；`SCN-STU-01`、`SCN-ERR-01`	`FR-GRANT-*`、`FR-LIB-*`、`SEC-ACCESS-*`					待设计	
FR-WS-007	doc/requirements/v1/04-functional-requirements.md	服务端从可信身份推导工作空间	已接受	P0	`SCOPE-01`、`SCOPE-02`；`SCN-TCH-01`、`SCN-ERR-01`	`FR-AUTH-010`、`SEC-ACCESS-*`					待设计	
FR-WS-008	doc/requirements/v1/04-functional-requirements.md	业务对象归属稳定且越权失败不产生副作用	已接受	P0	`SCOPE-01`、`SCOPE-02`、`SCOPE-09`；`SCN-ERR-01`、`SCN-ERR-02`	`SEC-ACCESS-*`					待设计	
FR-COURSE-001	doc/requirements/v1/04-functional-requirements.md	教师管理多门独立课程	已接受	P0	`SCOPE-02`；`SCN-TCH-02`	`FR-WS-004`					待设计	
FR-COURSE-002	doc/requirements/v1/04-functional-requirements.md	教师编辑课程信息但不改变课程身份	已接受	P0	`SCOPE-02`；`SCN-TCH-02`、`SCN-TCH-06`	—					待设计	
FR-COURSE-003	doc/requirements/v1/04-functional-requirements.md	教师归档课程并保留历史	已接受	P0	`SCOPE-02`、`SCOPE-04`；`SCN-TCH-06`	`FR-GRANT-*`、`FR-LIB-*`、`DATA-LIFE-*`					待设计	
FR-COURSE-004	doc/requirements/v1/04-functional-requirements.md	教师建立和维护有序课节	已接受	P0	`SCOPE-02`；`SCN-TCH-02`、`SCN-TCH-06`	`FR-WS-004`					待设计	
FR-COURSE-005	doc/requirements/v1/04-functional-requirements.md	课程交付前至少有一个有效课节	已接受	P0	`SCOPE-02`、`SCOPE-03`；`SCN-TCH-02`、`SCN-TCH-04`	`FR-PUBLISH-*`、`FR-GRANT-*`					待设计	
FR-COURSE-006	doc/requirements/v1/04-functional-requirements.md	课节身份不随标题、顺序或视频变化	已接受	P0	`SCOPE-02`；`SCN-TCH-02`、`SCN-STU-04`	`FR-PUBLISH-*`、`FR-LIB-*`、`FR-LEARN-*`					待设计	
FR-COURSE-007	doc/requirements/v1/04-functional-requirements.md	每个课节绑定一个可精确匹配的视频引用	已接受	P0	`SCOPE-02`、`SCOPE-05`；`SCN-TCH-02`、`SCN-STU-02`	`FR-RUNTIME-*`					待设计	
FR-COURSE-008	doc/requirements/v1/04-functional-requirements.md	视频引用可以由多个独立课节复用	已接受	P0	`SCOPE-02`；`SCN-TCH-02`；`D-023`、`D-024`、`D-V1-010`	`FR-RUNTIME-*`、`SEC-ACCESS-*`					待设计	
FR-COURSE-009	doc/requirements/v1/04-functional-requirements.md	课程包保留可理解的层级和顺序	已接受	P0	`SCOPE-02`、`SCOPE-04`；`SCN-STU-01`、`SCN-STU-04`	`FR-PUBLISH-*`、`FR-GRANT-*`、`FR-LIB-*`					待设计	
FR-COURSE-010	doc/requirements/v1/04-functional-requirements.md	外部视频状态变化不删除课程结构	已接受	P0	`SCOPE-02`、`SCOPE-05`；`SCN-TCH-02`、`SCN-ERR-02`	`FR-RUNTIME-*`					待设计	
FR-AUTHOR-001	doc/requirements/v1/04-functional-requirements.md	教师为指定课节导入或选择可靠时间依据	已替代（被 `FR-AUTHOR-012` 替代）	P0	`SCOPE-03`；`SCN-TCH-03`	`INT-FILE-*`					待设计	
FR-AUTHOR-002	doc/requirements/v1/04-functional-requirements.md	字幕全文默认只在教师本机用于制作	已替代（被 `FR-AUTHOR-013` 替代）	P0	`SCOPE-03`；`SCN-TCH-03`；`TERM-017`、`TERM-018`	`INT-FILE-*`					待设计	
FR-AUTHOR-003	doc/requirements/v1/04-functional-requirements.md	每个课节维护独立的当前脚本草稿	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`TERM-019`、`TERM-020`	`FR-WS-*`、`FR-PUBLISH-*`、`SEC-ACCESS-*`					待设计	
FR-AUTHOR-004	doc/requirements/v1/04-functional-requirements.md	教师能够完整管理节点生命周期	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`TERM-022`	—					待设计	
FR-AUTHOR-005	doc/requirements/v1/04-functional-requirements.md	提供四种基线节点及明确教学行为	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`TERM-023`	`FR-RUNTIME-*`					待设计	
FR-AUTHOR-006	doc/requirements/v1/04-functional-requirements.md	节点具有稳定身份、合法触发和确定顺序	已接受	P0	`SCOPE-03`、`SCOPE-06`；`SCN-TCH-03`；`TERM-022`、`TERM-024`	`FR-LEARN-*`、`FR-RUNTIME-*`					待设计	
FR-AUTHOR-007	doc/requirements/v1/04-functional-requirements.md	节点校验不静默改变教学语义	已接受	P0	`SCOPE-03`；`SCN-TCH-03`	—					待设计	
FR-AUTHOR-008	doc/requirements/v1/04-functional-requirements.md	明确区分页面修改、保存中和已确认草稿	已接受	P0	`SCOPE-03`；`SCN-TCH-03`	—					待设计	
FR-AUTHOR-009	doc/requirements/v1/04-functional-requirements.md	并发修改不得静默互相覆盖	已接受	P0	`SCOPE-03`；`SCN-TCH-03`、`SCN-TCH-06`	`INT-WEB-*`					待设计	
FR-AUTHOR-010	doc/requirements/v1/04-functional-requirements.md	制作内容按数据处理且不能自动成为发布内容	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`D-V1-002`、`D-V1-008`	`FR-PUBLISH-*`、`DATA-CONTENT-*`、`SEC-ACCESS-*`					待设计	
FR-AUTHOR-011	doc/requirements/v1/04-functional-requirements.md	所有节点类型遵守统一管理契约	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`TERM-022`、`TERM-023`	`FR-PUBLISH-*`、`FR-RUNTIME-*`、`FR-PORT-*`					待设计	
FR-AUTHOR-012	doc/requirements/v1/04-functional-requirements.md	教师为指定课节导入字幕作为创建节点的唯一时间依据（替代 `FR-AUTHOR-001`）	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`D-V1-014`	—					待设计	
FR-AUTHOR-013	doc/requirements/v1/04-functional-requirements.md	字幕经保存草稿动作进入服务端草稿与发布快照，不进入课程包或插件（替代 `FR-AUTHOR-002`）	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`TERM-017`、`TERM-018`；`D-V1-014`	—					待设计	
FR-AUTHOR-014	doc/requirements/v1/04-functional-requirements.md	教师通过上传或 URL 导入节点媒体并使用稳定资源身份	已接受	P0	`SCOPE-03`；`SCN-TCH-03`；`D-V1-016`	`DATA-CONTENT-006`					待设计	
FR-PUBLISH-001	doc/requirements/v1/04-functional-requirements.md	真实预览使用学生正式交付路径	已接受	P0	`SCOPE-03`、`SCOPE-05`；`SCN-TCH-04`；`TERM-026`、`TERM-027`	`FR-RUNTIME-*`					待设计	
FR-PUBLISH-002	doc/requirements/v1/04-functional-requirements.md	每次预览锁定可识别的已保存草稿	已接受	P0	`SCOPE-03`；`SCN-TCH-03`、`SCN-TCH-04`	—					待设计	
FR-PUBLISH-003	doc/requirements/v1/04-functional-requirements.md	预览活动与学生真实学习状态隔离	已接受	P0	`SCOPE-03`、`SCOPE-06`；`SCN-TCH-04`	`FR-LEARN-*`					待设计	
FR-PUBLISH-004	doc/requirements/v1/04-functional-requirements.md	预览失败提供可恢复且不过度泄露的结果	已接受	P0	`SCOPE-03`、`SCOPE-05`；`SCN-TCH-04`、`SCN-ERR-02`	—					待设计	
FR-PUBLISH-005	doc/requirements/v1/04-functional-requirements.md	发布前校验整门课程的交付完整性	已接受	P0	`SCOPE-02`、`SCOPE-03`；`SCN-TCH-04`；`FR-COURSE-005`	`FR-COURSE-*`、`FR-AUTHOR-*`					待设计	
FR-PUBLISH-006	doc/requirements/v1/04-functional-requirements.md	教师通过显式确认发布整门课程	已接受	P0	`SCOPE-03`；`SCN-TCH-04`、`SCN-TCH-06`；`TERM-028`	`FR-WS-*`、`SEC-ACCESS-*`					待设计	
FR-PUBLISH-007	doc/requirements/v1/04-functional-requirements.md	发布版本唯一、不可变且可以追溯（被 `FR-PUBLISH-012`、`FR-PUBLISH-013` 替代）	已替代（被 `FR-PUBLISH-012`、`FR-PUBLISH-013` 替代）	P0	`SCOPE-03`、`SCOPE-06`；`SCN-TCH-04`、`SCN-TCH-06`；`TERM-029`	—					待设计	
FR-PUBLISH-008	doc/requirements/v1/04-functional-requirements.md	草稿修改不改变任何已发布版本（被 `FR-PUBLISH-013` 替代）	已替代（被 `FR-PUBLISH-013` 替代）	P0	`SCOPE-03`、`SCOPE-04`；`SCN-TCH-03`、`SCN-TCH-06`	`FR-GRANT-*`、`FR-LIB-*`					待设计	
FR-PUBLISH-009	doc/requirements/v1/04-functional-requirements.md	重复和并发发布不会制造重复或倒退版本	已接受	P0	`SCOPE-03`；`SCN-TCH-04`、`SCN-TCH-06`	`INT-WEB-*`					待设计	
FR-PUBLISH-012	doc/requirements/v1/04-functional-requirements.md	发布草稿生成独立课程版本并消耗草稿	已接受；实现待开发	P0	`D-V1-018`；`SCN-TCH-04`、`SCN-TCH-09`	—					待设计	
FR-PUBLISH-013	doc/requirements/v1/04-functional-requirements.md	已发布课程版本支持修改本版本或增加版本	已接受；实现待开发	P0	`D-V1-018`；`SCN-TCH-06`、`SCN-TCH-09`	—					待设计	
FR-PUBLISH-010	doc/requirements/v1/04-functional-requirements.md	发布快照生成完整且最小的课程包	已接受	P0	`SCOPE-03`、`SCOPE-04`；`SCN-TCH-04`、`SCN-STU-01`；`TERM-030`、`TERM-031`	`FR-GRANT-*`、`FR-RUNTIME-*`、`INT-PACKAGE-*`					待设计	
FR-PUBLISH-011	doc/requirements/v1/04-functional-requirements.md	发布结果与高风险操作可审计	已接受	P0	`SCOPE-08`；`SCN-TCH-04`、`SCN-ERR-01`	`FR-ADMIN-*`					待设计	
FR-GRANT-001	doc/requirements/v1/04-functional-requirements.md	教师为已发布内容建立分层授权范围（版本语义被 `FR-GRANT-014`、`FR-GRANT-015` 替代）	已替代（版本语义被 `FR-GRANT-014`、`FR-GRANT-015` 替代）	P0	`SCOPE-04`；`SCN-TCH-05`；`D-025`	`FR-PUBLISH-*`、`SEC-ACCESS-*`					待设计	
FR-GRANT-002	doc/requirements/v1/04-functional-requirements.md	授权码领取窗口与授权项有效时间相互独立	已接受	P0	`SCOPE-04`；`SCN-TCH-05`、`SCN-STU-01`；`TERM-035`、`TERM-036`、`TERM-043`	—					待设计	
FR-GRANT-003	doc/requirements/v1/04-functional-requirements.md	授权码原文只在创建结果中显示一次	已接受	P0	`SCOPE-04`、`SCOPE-08`；`SCN-TCH-05`	`SEC-SECRET-*`					待设计	
FR-GRANT-004	doc/requirements/v1/04-functional-requirements.md	教师查看授权范围、领取窗口和当前状态	已接受	P0	`SCOPE-04`；`SCN-TCH-05`、`SCN-TCH-06`	`SEC-ACCESS-*`					待设计	
FR-GRANT-005	doc/requirements/v1/04-functional-requirements.md	教师永久终止一个授权来源的未来在线资格	已接受	P0	`SCOPE-04`；`SCN-TCH-06`；`TERM-041`、`TERM-042`	—					待设计	
FR-GRANT-006	doc/requirements/v1/04-functional-requirements.md	学生用本机学习标识完成一次可追溯领取	已接受	P0	`SCOPE-04`、`SCOPE-06`；`SCN-STU-01`；`TERM-038`、`TERM-039`	`FR-AUTH-007`					待设计	
FR-GRANT-007	doc/requirements/v1/04-functional-requirements.md	重复领取同一来源不制造重复关系	已接受	P0	`SCOPE-04`；`SCN-STU-01`、`SCN-ERR-01`	—					待设计	
FR-GRANT-008	doc/requirements/v1/04-functional-requirements.md	多个授权来源按有效范围求并集	已接受	P0	`SCOPE-04`；`SCN-STU-01`、`SCN-STU-04`；`TERM-040`、`TERM-041`	—					待设计	
FR-GRANT-009	doc/requirements/v1/04-functional-requirements.md	授权范围裁剪只返回允许的最新发布内容	已接受	P0	`SCOPE-04`；`SCN-STU-01`、`SCN-STU-04`；`D-025`	`FR-PUBLISH-*`、`FR-LIB-*`、`SEC-ACCESS-*`					待设计	
FR-GRANT-010	doc/requirements/v1/04-functional-requirements.md	仍具资格时可以重新下载和取得更新	已接受	P0	`SCOPE-04`；`SCN-STU-04`；`TERM-044`、`TERM-045`	`FR-LIB-*`					待设计	
FR-GRANT-011	doc/requirements/v1/04-functional-requirements.md	在线资格失效不删除本机已安装内容	已接受	P0	`SCOPE-04`、`SCOPE-06`；`SCN-TCH-06`、`SCN-STU-03`、`SCN-STU-04`	`FR-LIB-*`、`FR-LEARN-*`					待设计	
FR-GRANT-012	doc/requirements/v1/04-functional-requirements.md	授权和领取失败保持原状态且限制信息泄露	已接受	P0	`SCOPE-04`、`SCOPE-08`；`SCN-STU-01`、`SCN-ERR-01`、`SCN-ERR-02`	—					待设计	
FR-GRANT-013	doc/requirements/v1/04-functional-requirements.md	授权码限制不同本机标识的使用数量	已接受；实现待开发	P0	`D-V1-015`；`SCN-TCH-05`、`SCN-STU-01`、`SCN-ERR-01`	`FR-GRANT-006`、`FR-GRANT-007`、`DATA-DELIVERY-006`					待设计	
FR-GRANT-014	doc/requirements/v1/04-functional-requirements.md	教师针对已发布课程版本生成版本级授权码	已接受；实现待开发	P0	`D-V1-018`；`SCN-TCH-05`、`SCN-TCH-09`	—					待设计	
FR-GRANT-015	doc/requirements/v1/04-functional-requirements.md	课程升级和旧授权码兼容（后续阶段）	已接受；后续阶段，不在本次开发	P1	`D-V1-018`；未来 `SCN-TCH-06`、`SCN-STU-04`	—					待设计	
FR-LIB-001	doc/requirements/v1/04-functional-requirements.md	当前机器维护独立且可恢复的学生课程库	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-01`、`SCN-STU-03`；`TERM-032`	`FR-AUTH-*`、`FR-GRANT-*`、`DATA-LOCAL-*`					待设计	
FR-LIB-002	doc/requirements/v1/04-functional-requirements.md	课程库展示多门课程、课节和当前版本	已接受	P0	`SCOPE-05`；`SCN-STU-01`、`SCN-STU-04`；`TERM-033`	`FR-COURSE-*`、`DATA-LOCAL-*`					待设计	
FR-LIB-003	doc/requirements/v1/04-functional-requirements.md	学生在写入前确认将安装的课程内容	已接受	P0	`SCOPE-04`；`SCN-STU-01`	`FR-GRANT-*`					待设计	
FR-LIB-004	doc/requirements/v1/04-functional-requirements.md	学生可以明确删除一门本机课程及其学习状态	已接受	P0	`SCOPE-06`、`SCOPE-09`；`SCN-STU-03`、`SCN-STU-04`	`FR-GRANT-*`、`FR-LEARN-*`					待设计	
FR-LIB-005	doc/requirements/v1/04-functional-requirements.md	课程包通过完整契约校验后才能进入本机课程库	已接受	P0	`SCOPE-04`、`SCOPE-05`；`SCN-STU-01`、`SCN-ERR-02`	`FR-PUBLISH-*`、`INT-PACKAGE-*`					待设计	
FR-LIB-006	doc/requirements/v1/04-functional-requirements.md	新增课程原子合并且不覆盖其它课程	已接受	P0	`SCOPE-04`、`SCOPE-05`；`SCN-STU-01`	`DATA-LOCAL-*`					待设计	
FR-LIB-007	doc/requirements/v1/04-functional-requirements.md	同一课程只保留一个当前已安装版本	已接受	P0	`SCOPE-04`、`SCOPE-05`；`SCN-STU-04`；`TERM-029`、`TERM-033`	`FR-PUBLISH-*`					待设计	
FR-LIB-008	doc/requirements/v1/04-functional-requirements.md	更新前展示版本、范围和本机数据影响	已接受	P0	`SCOPE-04`、`SCOPE-05`；`SCN-STU-04`	`FR-GRANT-*`、`FR-LEARN-*`					待设计	
FR-LIB-009	doc/requirements/v1/04-functional-requirements.md	更新只迁移能够安全对应的本机学习状态	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-04`	`FR-LEARN-*`					待设计	
FR-LIB-010	doc/requirements/v1/04-functional-requirements.md	课程包和迁移状态作为一个原子更新写入	已接受	P0	`SCOPE-05`；`SCN-STU-04`、`SCN-ERR-02`	`DATA-LOCAL-*`					待设计	
FR-LIB-011	doc/requirements/v1/04-functional-requirements.md	已安装课程在离线时保持可发现和可打开	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-03`、`SCN-STU-04`	`FR-RUNTIME-*`、`FR-LEARN-*`					待设计	
FR-LIB-012	doc/requirements/v1/04-functional-requirements.md	示例课程与真实授权课程明确隔离	已接受	P1	`SCOPE-03`、`SCOPE-04`；`SCN-STU-01`；`TERM-034`	`FR-RUNTIME-*`	doc/design/v1/07-product-interaction-state.md §6.4	v1/extension/background/example-course.ts；v1/extension/storage/index.ts；v1/extension/shared/library-view.ts；v1/extension/popup/index.ts	v1/extension/background/example-course.test.ts；v1/extension/storage/storage.test.ts；v1/extension/shared/library-view.test.ts		待验证	2026-08-25
FR-LIB-013	doc/requirements/v1/04-functional-requirements.md	并发操作和存储损坏不破坏最近有效课程库	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-03`、`SCN-ERR-02`	`DATA-LOCAL-*`					待设计	
FR-LIB-014	doc/requirements/v1/04-functional-requirements.md	学生可从销售页或链接导航进入完整插件安装说明	已接受	P0	`SCOPE-05`；`SCN-STU-01`；`D-V1-004`	—	doc/design/v1/07-product-interaction-state.md §6.0	teacher-web/student-guide.html；teacher-web/forsales.html；link.html；tools/web-release.sh	tests/student-plugin-usage-guide.test.js；tests/link-page.test.js；tests/page-information-architecture.test.js；tests/web-release.test.js	本机三档浏览器检查、链接导航测试、生产 200 探针与源文件 SHA-256 比对通过	已发布	2026-08-24
FR-RUNTIME-001	doc/requirements/v1/04-functional-requirements.md	只在受支持环境加载已安装且有效的课程包	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`、`SCN-STU-03`	`FR-LIB-*`					待设计	
FR-RUNTIME-002	doc/requirements/v1/04-functional-requirements.md	使用完整视频引用识别全部匹配课节	已接受	P0	`SCOPE-02`、`SCOPE-05`；`SCN-STU-02`；`FR-COURSE-007`	—					待设计	
FR-RUNTIME-003	doc/requirements/v1/04-functional-requirements.md	多个课节匹配同一视频时由学生明确选择	已接受	P0	`SCOPE-05`；`SCN-STU-02`；`FR-COURSE-008`	`FR-LIB-*`					待设计	
FR-RUNTIME-004	doc/requirements/v1/04-functional-requirements.md	一次学习会话锁定课程、课节和发布版本	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`、`SCN-STU-04`；`TERM-046`	`FR-LIB-*`、`FR-LEARN-*`					待设计	
